"ADM3_PCODE","ADM3_EN","pop_u5","n_children","n_clusters"
"MG11106030","Sambaina",359.334899902344,0,0
"MG11106050","Ambohibary",198.829025268555,0,0
"MG11106070","Ambatomanga",294.5595703125,0,0
"MG11106090","Alarobia",893.126770019531,0,0
"MG11106110","Mantasoa",953.793334960938,6,1
"MG11106130","Ranovao",390.635162353516,0,0
"MG11106150","Miadanandriana",1483.40942382812,0,0
"MG11106170","Nandihizana",346.728668212891,0,0
"MG11106190","Anjepy",264.628448486328,0,0
"MG11106210","Ambanitsena",255.888214111328,0,0
"MG11106230","Ambohitrandriamanitra",822.773559570312,0,0
"MG11106251","Ambatomena",159.69123840332,0,0
"MG11106252","Ambohibao Sud",110.640884399414,0,0
"MG11106271","Ambohitseheno",122.602699279785,0,0
"MG11106272","Antsahalalina",199.00032043457,4,1
"MG11115031","Sabotsy Ambohitromby",508.979156494141,0,0
"MG11115032","Andohariana",181.671783447266,0,0
"MG11115050","Mandrosoa",516.653259277344,0,0
"MG11117470","Ambatofahavalo",1754.44226074219,0,0
"MG12108001a","Antsirabe",7675.82421875,22,5
"MG12114050","Ampitatafika",5362.19189453125,15,1
"MG12114079","Ambatomiady",1357.69201660156,0,0
"MG12114090","Andranofito",630.945617675781,0,0
"MG21205290","Fenoarivo",1795.25939941406,0,0
"MG21208010","Ambohimahasoa",431.887115478516,0,0
"MG21208030","Ampitana",1197.93872070312,0,0
"MG22223090","Ambohipo",976.719177246094,9,1
"MG22223110","Anjoman'ankona",632.027954101562,13,1
"MG22223130","Vinany Andakatanikely",328.472503662109,0,0
"MG23211111","Ankarimbelo",4458.662109375,4,1
"MG23211112","Antodinga",4558.52001953125,0,0
"MG23211113","Kalafotsy",3780.09106445312,0,0
"MG25222012","Antondabe",1266.67150878906,0,0
"MG25222031","Marovitsika Sud",5413.87646484375,0,0
"MG25222032","Antaninarenina",1402.44091796875,0,0
"MG11106290","Ambohitrony",41.5009803771973,0,0
"MG11106310","Merikanjaka",1077.392578125,0,0
"MG11106330","Anjoma Betoho",53.1090850830078,0,0
"MG11106351","Ankazondandy",693.935424804688,0,0
"MG11106352","Soavinandriana",482.161437988281,0,0
"MG11106371","Ambohitrolomahitsy",811.00244140625,0,0
"MG11106372","Ampaneva",79.377197265625,0,0
"MG11106390","Sadabe",4812.8095703125,0,0
"MG11107019","Anjozorobe",1283.97045898438,15,1
"MG11107070","Mangamila",1705.00549316406,0,0
"MG11107099","Ambongamarina",841.5576171875,0,0
"MG11107110","Tsarasaotra",136.148071289062,12,1
"MG11107130","Ambohimanarina Marovazaha",428.409362792969,0,0
"MG11107150","Betatao",1169.9345703125,0,0
"MG11107170","Alakamisy",238.600479125977,0,0
"MG11107190","Analaroa",373.751281738281,0,0
"MG11107211","Antanetibe",1577.44311523438,0,0
"MG11107212","Belanitra",51.1352767944336,0,0
"MG11107230","Ambatomanoina",898.001037597656,10,1
"MG11107250","Amparatanjona",1245.36267089844,0,0
"MG11107270","Amboasary Nord",1002.33111572266,0,0
"MG11107290","Androvakely",1662.28198242188,0,0
"MG11107310","Ambohibary Vohilena",2953.25024414062,0,0
"MG11107330","Ambohimirary",242.971084594727,0,0
"MG11107350","Marotsipoy",1040.78759765625,0,0
"MG11107370","Beronono",1637.01220703125,0,0
"MG11115010","Andramasina",1453.48217773438,0,0
"MG11115071","Alatsinainy Bakaro",2500.17895507812,5,1
"MG11115072","Antotohazo",614.554626464844,0,0
"MG11115091","Ambohimiadana",2413.9951171875,0,0
"MG11115092a","Morarano Soa Firaisana",949.716613769531,0,0
"MG11115110","Alarobia Vatosola",2121.55322265625,10,1
"MG11115130","Fitsinjovana Bakaro",2891.56005859375,0,0
"MG11115150","Sabotsy Manjakavahoaka",1399.09948730469,0,0
"MG11115170","Anosibe Trimoloharano",864.186157226562,0,0
"MG11117011","Ampitatafika",4772.10400390625,0,0
"MG11117012","Anosizato Andrefana",473.503936767578,0,0
"MG11117050","Ambohidrapeto",2330.51538085938,0,0
"MG11117070","Bemasoandro",3528.92724609375,16,2
"MG11117090","Fiombonana",3699.18969726562,0,0
"MG11117130","Ambavahaditokana",4319.26953125,8,2
"MG11117150","Tanjombato",4060.54809570312,0,0
"MG11117170","Andoharanofotsy",4570.658203125,0,0
"MG11117190","Ankaraobato",6200.16552734375,4,1
"MG11117210","Soalandy",2479.06494140625,0,0
"MG11117230","Antanetikely",2826.87646484375,0,0
"MG11117250","Alatsinainy Ambazaha",685.931762695312,0,0
"MG11117270","Ampanefy",3852.171875,7,1
"MG11117290","Ankadimanga",479.627746582031,0,0
"MG11117312","Alakamisy Fenoarivo",2749.87377929688,0,0
"MG11117330","Soavina",1478.45104980469,0,0
"MG11117350","Ambohijanaka",7114.9970703125,0,0
"MG11117370","Ampahitrosy",861.041320800781,0,0
"MG11117390","Bongatsara",4116.29736328125,0,0
"MG11117410","Androhibe",1813.52221679688,5,1
"MG11117430","Tsiafahy",6743.4150390625,9,1
"MG11117450","Ambalavao",3714.9794921875,0,0
"MG12109010","Betafo",3218.697265625,0,0
"MG12109030","Andranomafana",1193.77429199219,0,0
"MG12109050","Mandritsara",601.855834960938,0,0
"MG12109070","Alakamisy Anativato",533.528015136719,0,0
"MG12109090","Antsoso",638.800720214844,0,0
"MG12109110","Tritriva",897.868713378906,0,0
"MG12109130","Soavina",1971.77758789062,0,0
"MG12109150","Manohisoa",1961.533203125,0,0
"MG12109170","Ambatonikolahy",4716.43896484375,0,0
"MG12109190","Antohobe",1348.76843261719,9,1
"MG12109211","Mahaiza",1987.94702148438,9,1
"MG12109212","Anosiarivo Manapa",2835.76513671875,0,0
"MG12109230","Alakamisy Marososona",1803.88513183594,0,0
"MG12109250","Ambohimanambola",4759.4013671875,0,0
"MG12109270","Ambohimasina",2379.50732421875,9,1
"MG12109290","Inanantonana",1151.03247070312,0,0
"MG12109390","Alarobia Bemaha",2588.83911132812,0,0
"MG12109490","Andrembesoa",3076.35888671875,5,1
"MG12110010","Ambatolampy",2181.98852539062,0,0
"MG12110030","Morarano",1001.10223388672,0,0
"MG12110050","Ambohipihaonana",1387.70910644531,0,0
"MG12110070","Manjakatompo",1166.7080078125,0,0
"MG12110090","Ambatondrakalavao",912.267822265625,0,0
"MG12110110","Andriambilany",927.448608398438,0,0
"MG12110130","Belambo Firaisana",1605.70288085938,0,0
"MG12110150","Andravola Vohipeno",465.022827148438,0,0
"MG12110170","Tsiafajavona Ankaratra",3093.6962890625,7,2
